Kategori,Isi
Keuangan,Transfer Rp 22000000 ke Rekening 88055329
Keuangan,Transfer Rp 63000000 ke Rekening 40439644
Strategi,Rencana Proyek Rahasia Strategis Kode-225
Keuangan,Transfer Rp 12000000 ke Rekening 26904749
IT Security,Server IP 6.113 API: CECNNJDGZY
Strategi,Rencana Proyek Rahasia Strategis Kode-636
HRD,Data Gaji NIK 9310 atas nama Karyawan-99
IT Security,Server IP 36.131 API: PFCZQMSRJP
Keuangan,Transfer Rp 40000000 ke Rekening 68479481
HRD,Data Gaji NIK 9025 atas nama Karyawan-17
HRD,Data Gaji NIK 6279 atas nama Karyawan-34
HRD,Data Gaji NIK 1585 atas nama Karyawan-85
Keuangan,Transfer Rp 71000000 ke Rekening 92341754
Strategi,Rencana Proyek Rahasia Strategis Kode-860
IT Security,Server IP 123.231 API: XORLBTYSBX
IT Security,Server IP 208.251 API: PUBCWZJDMZ
HRD,Data Gaji NIK 4699 atas nama Karyawan-67
IT Security,Server IP 207.153 API: ZKVUJTYHKQ
IT Security,Server IP 45.102 API: YJPDDCMAEW
HRD,Data Gaji NIK 4271 atas nama Karyawan-19
HRD,Data Gaji NIK 3170 atas nama Karyawan-9
IT Security,Server IP 162.203 API: ZZHLEDUTRF
Strategi,Rencana Proyek Rahasia Strategis Kode-114
IT Security,Server IP 163.8 API: ZWDHATPDIE
HRD,Data Gaji NIK 1374 atas nama Karyawan-15
IT Security,Server IP 147.190 API: FDHJCAUBIW
IT Security,Server IP 79.161 API: ANJQJLWNCI
HRD,Data Gaji NIK 3871 atas nama Karyawan-28
HRD,Data Gaji NIK 1302 atas nama Karyawan-10
Keuangan,Transfer Rp 94000000 ke Rekening 38305259
HRD,Data Gaji NIK 9400 atas nama Karyawan-100
Strategi,Rencana Proyek Rahasia Strategis Kode-194
IT Security,Server IP 230.136 API: POGWFUGHPJ
Strategi,Rencana Proyek Rahasia Strategis Kode-313
Strategi,Rencana Proyek Rahasia Strategis Kode-128
Keuangan,Transfer Rp 59000000 ke Rekening 70499791
Strategi,Rencana Proyek Rahasia Strategis Kode-385
HRD,Data Gaji NIK 6667 atas nama Karyawan-18
Keuangan,Transfer Rp 31000000 ke Rekening 10076580
HRD,Data Gaji NIK 8887 atas nama Karyawan-27
